"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
30.88,0.00252928471398151,0.00558620340781424
30.89,0.00252660486785117,0.0055747744464294
30.9,0.00252393294765563,0.00556338892718877
30.91,0.00252126894723337,0.00555204669937959
30.92,0.00251861285998078,0.00554074761175827
30.93,0.0025159646788655,0.00552949151257764
30.94,0.00251332439644569,0.00551827824962103
30.95,0.00251069200486764,0.00550710767022189
30.96,0.00250806749584576,0.00549597962124149
30.97,0.00250545086070186,0.00548489394914342
30.98,0.00250284209038421,0.00547385050000082
30.99,0.00250024117542502,0.00546284911949901
31,0.00249764810598263,0.00545188965295396
31.01,0.00249506287185308,0.00544097194536075
31.02,0.00249248546245751,0.00543009584139553
31.03,0.00248991586682901,0.00541926118539593
31.04,0.00248735407369927,0.00540846782147764
31.05,0.00248480007138996,0.00539771559342861
31.06,0.00248225384791734,0.00538700434482109
31.07,0.00247971539096059,0.00537633391900771
31.08,0.00247718468784619,0.00536570415909987
31.09,0.00247466172560074,0.00535511490804375
31.1,0.00247214649089744,0.00534456600857081
31.11,0.0024696389701393,0.00533405730329062
31.12,0.00246713914939845,0.00532358863464844
31.13,0.00246464701444182,0.00531315984495129
31.14,0.00246216255074017,0.00530277077640029
31.15,0.00245968574350408,0.00529242127111818
31.16,0.00245721657762299,0.00528211117111732
31.17,0.0024547550377334,0.00527184031836148
31.18,0.00245230110819317,0.00526160855476154
31.19,0.00244985477307813,0.00525141572217713
31.2,0.00244741601622955,0.00524126166246619
31.21,0.00244498482121769,0.00523114621746767
31.22,0.00244256117135089,0.00522106922901211
31.23,0.00244014504972279,0.00521103053899108
31.24,0.00243773643916789,0.0052010299892935
31.25,0.0024353353222798,0.00519106742185971
31.26,0.00243294168142549,0.00518114267869418
31.27,0.00243055549878468,0.00517125560190146
31.28,0.00242817675625828,0.00516140603362392
31.29,0.00242580543557569,0.00515159381613739
31.3,0.00242344151824747,0.00514181879182163
31.31,0.00242108498558058,0.00513208080317584
31.32,0.00241873581867769,0.00512237969283835
31.33,0.00241639399844495,0.00511271530357948
31.34,0.00241405950561124,0.00510308747835142
31.35,0.00241173232072323,0.00509349606026788
31.36,0.00240941242413317,0.00508394089262076
31.37,0.00240709979602838,0.00507442181889439
31.38,0.00240479441642238,0.0050649386827738
31.39,0.0024024962651652,0.00505549132816685
31.4,0.00240020532193719,0.0050460795991879
31.41,0.00239792156628993,0.00503670334021677
31.42,0.00239564497759426,0.00502736239585289
31.43,0.00239337553507635,0.00501805661094556
