Frequency_GHz,Abs0deg,Abs10deg,Abs20deg
75.8356713427,3.35270490948156e-05,2.4628402208289e-05,2.4628402208289e-05
75.8416833667,3.34296462130871e-05,2.47134121419259e-05,2.47134121419259e-05
75.8476953908,3.33634215301466e-05,2.50663050282165e-05,2.50663050282165e-05
75.8537074148,3.37378678110005e-05,2.49184452855698e-05,2.49184452855698e-05
75.8597194389,3.39453620203368e-05,2.46637728591378e-05,2.46637728591378e-05
75.8657314629,3.40690961438306e-05,2.5237815710577e-05,2.5237815710577e-05
75.871743487,3.42992172595311e-05,2.50996640873885e-05,2.50996640873885e-05
75.877755511,3.45283870606011e-05,2.48216402908666e-05,2.48216402908666e-05
75.8837675351,3.43254153965651e-05,2.50931300699285e-05,2.50931300699285e-05
75.8897795591,3.45351858221926e-05,2.50040361024666e-05,2.50040361024666e-05
75.8957915832,3.46220079589894e-05,2.49576361557677e-05,2.49576361557677e-05
75.9018036072,3.49704102998904e-05,2.5022491314101e-05,2.5022491314101e-05
75.9078156313,3.50488007760929e-05,2.49745789349553e-05,2.49745789349553e-05
75.9138276553,3.48032096871597e-05,2.51948458014592e-05,2.51948458014592e-05
75.9198396794,3.48316260968602e-05,2.52534856561445e-05,2.52534856561445e-05
75.9258517034,3.51237884827245e-05,2.52773497581883e-05,2.52773497581883e-05
75.9318637275,3.56266747749482e-05,2.53727890143819e-05,2.53727890143819e-05
75.9378757515,3.57751249591055e-05,2.54317929763848e-05,2.54317929763848e-05
75.9438877756,3.57620538380974e-05,2.55883414058312e-05,2.55883414058312e-05
75.9498997996,3.61079495383097e-05,2.54236705285345e-05,2.54236705285345e-05
75.9559118236,3.62138240394861e-05,2.53756500642355e-05,2.53756500642355e-05
75.9619238477,3.60956957291166e-05,2.52860490847265e-05,2.52860490847265e-05
75.9679358717,3.5923570737648e-05,2.54545158877914e-05,2.54545158877914e-05
75.9739478958,3.65906328075015e-05,2.56955309814079e-05,2.56955309814079e-05
75.9799599198,3.65094846462264e-05,2.60326843425334e-05,2.60326843425334e-05
75.9859719439,3.65742499075242e-05,2.57444747724846e-05,2.57444747724846e-05
75.9919839679,3.6708377017148e-05,2.54770077451065e-05,2.54770077451065e-05
75.997995992,3.68238157471384e-05,2.54455625489672e-05,2.54455625489672e-05
76.004008016,3.75486846033947e-05,2.56528868824843e-05,2.56528868824843e-05
76.0100200401,3.71690000469022e-05,2.60766679026138e-05,2.60766679026138e-05
76.0160320641,3.78987171809557e-05,2.63341795388356e-05,2.63341795388356e-05
76.0220440882,3.73363622389984e-05,2.6070055311853e-05,2.6070055311853e-05
76.0280561122,3.7648922230928e-05,2.60042456387821e-05,2.60042456387821e-05
76.0340681363,3.78904885799275e-05,2.6224626584803e-05,2.6224626584803e-05
76.0400801603,3.78128690360136e-05,2.60988562616867e-05,2.60988562616867e-05
76.0460921844,3.80816107565161e-05,2.64007262803909e-05,2.64007262803909e-05
76.0521042084,3.81953486192478e-05,2.61675859404995e-05,2.61675859404995e-05
76.0581162325,3.88411990596852e-05,2.66207777278286e-05,2.66207777278286e-05
76.0641282565,3.81833712058649e-05,2.61465654683342e-05,2.61465654683342e-05
76.0701402806,3.84916025992092e-05,2.60579125217151e-05,2.60579125217151e-05
76.0761523046,3.90861458335672e-05,2.59517641920432e-05,2.59517641920432e-05
76.0821643287,3.91723034037899e-05,2.6567424706411e-05,2.6567424706411e-05
76.0881763527,3.86410957178952e-05,2.65665449383617e-05,2.65665449383617e-05
76.0941883768,3.90586094445165e-05,2.65481291016203e-05,2.65481291016203e-05
76.1002004008,3.9383664233721e-05,2.64181230014789e-05,2.64181230014789e-05
76.1062124248,3.94971033362476e-05,2.70496250534634e-05,2.70496250534634e-05
76.1122244489,4.00535716667159e-05,2.71708308304107e-05,2.71708308304107e-05
76.1182364729,4.00805701611305e-05,2.6586178998236e-05,2.6586178998236e-05
76.124248497,4.00734191090041e-05,2.67538225972729e-05,2.67538225972729e-05
76.130260521,4.06559080030892e-05,2.71877613511237e-05,2.71877613511237e-05
76.1362725451,4.03577879339975e-05,2.72763586701931e-05,2.72763586701931e-05
76.1422845691,4.01270434735009e-05,2.71535488911721e-05,2.71535488911721e-05
76.1482965932,4.07806612185478e-05,2.7099476666718e-05,2.7099476666718e-05
76.1543086172,4.12821493764228e-05,2.73641983793789e-05,2.73641983793789e-05
76.1603206413,4.13860168374105e-05,2.7435919410458e-05,2.7435919410458e-05
76.1663326653,4.0726981703977e-05,2.70528070294297e-05,2.70528070294297e-05
76.1723446894,4.15322084677292e-05,2.70203774970879e-05,2.70203774970879e-05
76.1783567134,4.13812876054688e-05,2.75859713005762e-05,2.75859713005762e-05
76.1843687375,4.12206066443751e-05,2.7470531904873e-05,2.7470531904873e-05
76.1903807615,4.1621598462145e-05,2.77322844480278e-05,2.77322844480278e-05
76.1963927856,4.22415406886933e-05,2.75368243670606e-05,2.75368243670606e-05
76.2024048096,4.23826803466118e-05,2.76113609429766e-05,2.76113609429766e-05
76.2084168337,4.23261208894696e-05,2.80200803497874e-05,2.80200803497874e-05
76.2144288577,4.21587678866899e-05,2.78599451739007e-05,2.78599451739007e-05
76.2204408818,4.28008647526472e-05,2.7521209499165e-05,2.7521209499165e-05
76.2264529058,4.28191073857443e-05,2.74583197566962e-05,2.74583197566962e-05
76.2324649299,4.31753657366866e-05,2.77092763156408e-05,2.77092763156408e-05
76.2384769539,4.30235791864426e-05,2.82568617964886e-05,2.82568617964886e-05
76.244488978,4.32382741722922e-05,2.83245325444171e-05,2.83245325444171e-05
76.250501002,4.35532798355203e-05,2.82890745291371e-05,2.82890745291371e-05
76.2565130261,4.31629510200372e-05,2.84436159499279e-05,2.84436159499279e-05
76.2625250501,4.36711162040948e-05,2.82856093561055e-05,2.82856093561055e-05
76.2685370741,4.46913287832214e-05,2.79986287021347e-05,2.79986287021347e-05
76.2745490982,4.48866029663238e-05,2.81077399500181e-05,2.81077399500181e-05
76.2805611222,4.46419670163649e-05,2.81944252895591e-05,2.81944252895591e-05
76.2865731463,4.45087724763851e-05,2.80475798010298e-05,2.80475798010298e-05
76.2925851703,4.49659838023042e-05,2.83774730155032e-05,2.83774730155032e-05
76.2985971944,4.48286910946183e-05,2.86794385857489e-05,2.86794385857489e-05
76.3046092184,4.46823563595241e-05,2.89905507873565e-05,2.89905507873565e-05
76.3106212425,4.48003627392706e-05,2.8694699370035e-05,2.8694699370035e-05
76.3166332665,4.55620059624759e-05,2.83609683332475e-05,2.83609683332475e-05
76.3226452906,4.6023364555491e-05,2.85792991475023e-05,2.85792991475023e-05
76.3286573146,4.54289781826885e-05,2.85948547147841e-05,2.85948547147841e-05
76.3346693387,4.63387346773525e-05,2.87965747889966e-05,2.87965747889966e-05
