"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
10,76.05,0.00250830049207917,0.00256498480528777
10,76.08,0.00251657507336489,0.00257301774701069
10,76.11,0.00252504801362907,0.00258131249702587
10,76.14,0.00253376298833141,0.0025899380022264
10,76.17,0.00254278020365306,0.00259899340250969
10,76.2,0.00255218651096412,0.00260862733160483
10,76.23,0.00256211422072783,0.00261907418086504
10,76.26,0.00257277883799223,0.00263072758301652
10,76.29,0.00258456235740345,0.00264430444380037
10,76.32,0.00259822193236814,0.00266126142359335
10,76.35,0.00261551384463921,0.00268506273955327
10,76.38,0.00264163809001972,0.00272628402542618
10,76.41,0.00270080710384735,0.00283687213392503
10,76.44,0.00324686214153613,0.00426248726165757
10,76.47,0.00267280656480473,0.00272759154716062
10,76.5,0.00260226162188537,0.00261414489995859
10,76.53,0.00261723470232555,0.00262883253249413
10,76.56,0.00263287462166606,0.00264485304558726
10,76.59,0.00264771990909862,0.00265907698516143
10,76.62,0.00266222216798961,0.00267199802316376
10,76.65,0.00267678832381191,0.00268412448592226
10,76.68,0.00269173217152985,0.00269580719895035
10,76.71,0.00270732359901305,0.00270729056142582
10,76.74,0.00272382839647423,0.00271875905076202
10,76.77,0.0027415397909144,0.00273036805704119
10,76.8,0.00276080930124478,0.00274226552616108
10,76.83,0.00278208421031645,0.00275461017322076
10,76.86,0.00280596044589954,0.00276759094112589
10,76.89,0.00283326466202916,0.00278145281994646
10,76.92,0.00286519085185866,0.00279653683168102
10,76.95,0.00290354295488193,0.00281334893947061
10,76.98,0.00295119790939968,0.0028326896889217
10,77.01,0.00301307137391127,0.00285592102807852
10,77.04,0.00309837945729685,0.00288557775856335
10,77.07,0.00322685905262887,0.00292698170043482
10,77.1,0.00345051748518055,0.00299345742789747
10,77.13,0.00396807525076559,0.00312960173137022
10,77.16,0.00670799971712321,0.00360866115190328
10,77.19,0.0066941513019414,0.103569541548375
10,77.22,0.0028777149413366,0.00270404295619875
10,77.25,0.00350935562793409,0.00267613321639171
10,77.28,0.00539330138498995,0.00272102366376392
10,77.31,0.0247398630993342,0.00275908481555365
10,77.34,0.0271866630225515,0.00279868958234952
10,77.37,0.00485772112295291,0.00311703463687818
10,77.4,0.00329569669537311,0.0028252257883109
10,77.43,0.00291573429027003,0.00283508734931193
10,77.46,0.00278277743126776,0.00285162187914667
10,77.49,0.0027294561007537,0.00286772079238073
10,77.52,0.0027083015517041,0.00288322588591605
10,77.55,0.00270205280765312,0.00289830908534106
10,77.58,0.00270336509495839,0.00291313502380608
10,77.61,0.00270875695842232,0.00292783715284262
10,77.64,0.00271644488143696,0.00294252399431838
10,77.67,0.00272546135230745,0.00295728689163022
10,77.7,0.00273525887190451,0.00297220608396276
10,77.73,0.00274551811754375,0.00298735525458982
10,77.76,0.00275604919044581,0.00300280504059758
10,77.79,0.00276673820227058,0.00301862590669899
10,77.82,0.00277751718033548,0.00303489067943519
10,77.85,0.00278834652463866,0.00305167696491249
10,77.88,0.00279920448565629,0.00306906963116127
10,77.91,0.00281008070191613,0.00308716352169691
10,77.94,0.00282097215082944,0.00310606656755341
10,77.97,0.00283188057139561,0.00312590348865094
10,78,0.00284281080212534,0.00314682031193658
20,75,0.00225831071586746,0.00215108156331345
20,75.03,0.00227008584479516,0.00215754040300076
20,75.06,0.00228074814840495,0.00216353494116184
20,75.09,0.00229069753035516,0.00216924448398925
20,75.12,0.00230021494086197,0.00217479518666053
20,75.15,0.00230949866926111,0.00218027589884739
20,75.18,0.00231868924976897,0.0021857492603844
