"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
10,76.59,0.00250231104862453,0.0025129096723161
10,76.62,0.00250958374622889,0.00251901671799371
10,76.65,0.00251685685193748,0.00252513087182837
10,76.68,0.00252413354419967,0.00253125438276935
10,76.71,0.00253141702586579,0.002537389436851
10,76.74,0.00253871053492039,0.0025435381760236
10,76.77,0.00254601735670024,0.00254970271600197
10,76.8,0.00255334083748426,0.00255588516344063
10,76.83,0.0025606843995003,0.00256208763284194
10,76.86,0.00256805155753781,0.00256831226363674
10,76.89,0.00257544593728487,0.00257456123777378
10,76.92,0.00258287129582879,0.00258083679842513
10,76.95,0.00259033154443289,0.00258714127002235
10,76.98,0.00259783077443909,0.0025934770805891
10,77.01,0.00260537328655952,0.00259984678671477
10,77.04,0.00261296362462315,0.00260625310231755
10,77.07,0.00262060661462815,0.00261269893214433
10,77.1,0.00262830741037035,0.00261918741142397
10,77.13,0.00263607154720313,0.0026257219534197
10,77.16,0.00264390500621725,0.00263230630748712
10,77.19,0.00265181429099504,0.00263894463024894
10,77.22,0.00265980652114106,0.00264564157480029
10,77.25,0.00266788954649766,0.00265240240296005
10,77.28,0.00267607208892529,0.0026592331290507
10,77.31,0.00268436392012839,0.00266614070622651
10,77.34,0.00269277608751151,0.00267313327111995
10,77.37,0.00270132120590016,0.00268022047048777
10,77.4,0.00271001383995528,0.00268741390377303
10,77.43,0.00271887101576329,0.00269472773433799
10,77.46,0.00272791291919261,0.00270217954981455
10,77.49,0.00273716387296197,0.00270979160089446
10,77.52,0.00274665374051219,0.00271759262922611
10,77.55,0.00275642000712895,0.00272562064301662
10,77.58,0.00276651097391367,0.00273392726922461
10,77.61,0.00277699086344163,0.00274258484183632
10,77.64,0.00278794837083574,0.00275169846718915
10,77.67,0.00279951180207183,0.00276142768193377
10,77.7,0.00281187771414537,0.00277202792607512
10,77.73,0.00282536973868397,0.00278393665934107
10,77.76,0.00284057275808514,0.00279797189756315
10,77.79,0.00285868505862097,0.00281585939746132
10,77.82,0.00288264770463642,0.00284194851046493
10,77.85,0.00292212471831277,0.00289095018607255
10,77.88,0.00303467068126018,0.00305500016948534
10,77.91,0.0157091598871284,0.0644869648478514
10,77.94,0.00285992368016719,0.00277747464782885
10,77.97,0.00286441179653885,0.00276836944942704
10,78,0.00288702126179119,0.00278605035360191
20,75,0.00236179488396715,0.00221301703675425
20,75.03,0.00236117461771224,0.00220203815514475
20,75.06,0.00236761522482298,0.00220084926847919
20,75.09,0.00237716160755208,0.00220404170969279
20,75.12,0.00238814782353103,0.00220925236855096
20,75.15,0.00239987320844848,0.00221539977624885
20,75.18,0.00241207357753181,0.00222198169700072
20,75.21,0.00242469452580241,0.00222877152550705
20,75.24,0.00243779026674695,0.00223567890891485
20,75.27,0.00245147883852725,0.00224268306776276
20,75.3,0.00246592481889485,0.00224980028001975
20,75.33,0.00248133723123101,0.00225706832267536
20,75.36,0.00249797783783667,0.00226453988165354
20,75.39,0.00251617907066148,0.00227228120616796
20,75.42,0.00253637388512962,0.00228037444337081
20,75.45,0.00255914332801166,0.00228892338175091
20,75.48,0.0025852931985787,0.00229806339226102
20,75.51,0.00261598169495747,0.00230797766072532
20,75.54,0.00265294163359375,0.00231892396811595
20,75.57,0.00269888916972694,0.00233128049329523
20,75.6,0.00275832788238528,0.00234562816469774
20,75.63,0.00283926930383793,0.00236290821432494
20,75.66,0.00295733497231254,0.00238474765213337
